name,description
China Energy Portal,China's is drafting its 14th FYP. One key target being discussed is the % share of energy to come from renewables.… https://t.co/5M62myYhQJ
China Energy Portal,@StianReklev And may the ones that publish sloppily scanned pdf's step on legos
China Energy Portal,RT @LiShuo_GP: The best analysis I’ve seen on China’s coal expansion and how to effectively curb it. Highly recommended! https://t.co/a7pBZ…
China Energy Portal,"Chinese signals on recovery remain mixed. 

Positive news on possible ratcheting up of ambitions at the EU-China su… https://t.co/GgZEo7iSfv"
China Energy Portal,RT @e3g: What are the prospects of an EU–China climate deal? E3G's  @byfordt &amp; @jennytollmann explore in their latest for @chinadialogue…
China Energy Portal,"At EU-China summit, EU urges China to peak emissions by 2025, reach net zero by 2060, and stop investment in any ne… https://t.co/i4wyO8JrpF"
China Energy Portal,"RT @derznovich: https://t.co/OOfBVQP3l3 5 yrs after China's power market reform restarted, @envirochina this week talks to @east_winds Mich…"
China Energy Portal,"RT @YanQinyq: What's new in China's Power Sector Reform?  

Guangdong as one of the 8 Spot Power trading pilots just completed continuous o…"
China Energy Portal,RT @CarbonBrief: NEW - Guest post: Why would anyone finance another coal power plant in China? | @RegAssistProj https://t.co/L4381YpQwd htt…
China Energy Portal,RT @GDPC_BU: How have China's global policy banks financed global energy projects around the world? Our #ChinaEnergy Finance database break…
China Energy Portal,"RT @JorritGosens: New analysis by Rrodium Group on stimulus, and hwo green it is.
Not looking good anywhere except Europe.
Some comparison👇…"
China Energy Portal,"@pretentiouswhat @laurimyllyvirta Well, I actually think neither of those 3 options is a satisfactory explanation,… https://t.co/xqXobTFsOo"
China Energy Portal,"@laurimyllyvirta See e.g. https://t.co/ug4UNxB6aO
And note that their 'massive 250 GW' over a decade is not all tha… https://t.co/k7wo55TMXJ"
China Energy Portal,"@laurimyllyvirta This is the big ? for me.
Is this the surge to complete before subsidy deadlines? Bit late for tha… https://t.co/KfuG3D0CfU"
China Energy Portal,"RT @WeiPeng_Pton: Our new paper led by @DrGangHe just came out on @OneEarth_CP! In short, to transition away from coal in China, despite th…"
China Energy Portal,"RT @JorritGosens: Great story on the next clean energy revolution: hydrogen. Numbers for scale:
To use hydrogen to make all of China's stee…"
China Energy Portal,RT @ProfJeroenBergh: Insightful article about #China’s economic stimulus after #COVID19. It argues convincingly that there is no #GreenNewD…
China Energy Portal,RT @EnergyIceberg: Rumour has it: the MoF is gauging the option to task China Development Bank (CDB) or State Grid (SGCC) to issue bonds to…
China Energy Portal,"RT @EnergyIceberg: Allegedly, the Ministry of Finance (MoF) is considering to solve the country’s severe renewable subsidy payment issue by…"
China Energy Portal,"@EnergyIceberg This is good news for project developers/owners, of course, but what's the idea with the bonds here?… https://t.co/DeqcEZQ8Oj"
China Energy Portal,"Much will remain to be seen, of course, including in the upcoming 14th FYP plans. 
But for now, signals that Beijin… https://t.co/rr91ks9GGR"
China Energy Portal,"On New Infra, Wang writes that many provinces lunched plans to invest in 5G and high-speed rail. Good news, but it… https://t.co/aNPLKtr7l1"
China Energy Portal,"These targets are presented as an increased ambition, and they are when compared with original 13th FYP targets.… https://t.co/PVUSOrtTfE"
China Energy Portal,"This means the second half of the year should see 25 GW of new installations of both wind and PV. 
For PV, this has… https://t.co/EcEpVUfEvx"
China Energy Portal,Wang does see some positive points in ambitions for renewables. The NDRC recently increased 2020 targets for both w… https://t.co/T4SsrD2SG5
China Energy Portal,"Much of what Wang writes has a similar tone to what @JorritGosens and @frankjotzo wrote last week, stating that the… https://t.co/FZm9uQwh1b"
